username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-31 23:15;0;0;"I'm at Tom's Volvo V60 https://www. swarmapp.com/c/bilySKAeonS";;;;"815335550639017985";https://twitter.com/_TomMartens/status/815335550639017985
;2016-12-31 18:57;0;0;"Volvo V60 bjr 2013 Ex.BTW 0% Bijtelling!! 2.4 D6 AWD PLUG-IN. 1SHT96 191.128 km Prijs: ?50 ... http:// taggle.nl/9709167/";;;;"815270789197025284";https://twitter.com/eenhuismanauto/status/815270789197025284
;2016-12-31 16:38;0;0;"Volvo V60 1.6 T4 R-DESIGN. 84SZD9 163.430 km Prijs: ?21.940 Merk: Volvo Model: V6... http:// taggle.nl/3664268/";;;;"815235783774924800";https://twitter.com/vanvlotenoccasi/status/815235783774924800
;2016-12-31 15:13;0;0;"Volvo V60 bjr 2014 2.0 D4 133kW/181pk 6-bak R-DESIGN PLUS CL: http:// youtu.be/MiaxNg-jcPw?a via @YouTube";;@YouTube;;"815214293117501442";https://twitter.com/eenhuismanauto/status/815214293117501442
;2016-12-31 15:11;0;0;"Volvo V60 bjr 2014 2.0 D4 133kW/181pk 6-bak R-DESIGN PLUS CL. 8THF20 166.444 km Prijs: ?50 ... http:// taggle.nl/478908/";;;;"815213875050270724";https://twitter.com/eenhuismanauto/status/815213875050270724
;2016-12-31 13:27;0;0;"Personenautos - volvo v60 2-4-d6-awd-hybrid-7-bijtelling-incl-btw-r-design-schuifdak-dvd-achter http:// ift.tt/2ioclNa #BTW";;;#BTW;"815187609341358080";https://twitter.com/ZZPGemak/status/815187609341358080
;2016-12-31 12:44;0;0;"New post (Review: The Volvo V60 T5 AWD Cross Country is a Swedish Fjord Ranger) has been published on Auto ... pic.twitter.com/UMBHCKW0Nl";;;;"815176764255301632";https://twitter.com/AutoTrendUS/status/815176764255301632
;2016-12-31 08:07;0;0;"Volvo V60 Cross Country 2.0 D4 190 pk Summum Intellisafe P... bj 2016 18.301km EUR 44.900,00 http:// cartweet.me/nl/315e #volvo #cartweet";;;#volvo #cartweet;"815107023935275009";https://twitter.com/Baan_Automotive/status/815107023935275009
;2016-12-31 05:08;0;0;"Volvo V60 bjr 2014 2.0 D4 133kW/181pk Aut8 SUMMUM Family Lin: http:// youtu.be/JvFwTpQsaxY?a via @YouTube";;@YouTube;;"815062015169458176";https://twitter.com/eenhuismanauto/status/815062015169458176
;2016-12-31 05:07;0;0;"Volvo V60 bjr 2014 2.0 D4 133kW/181pk Aut8 SUMMUM Family Lin. 8TLH68 179.953 km Prijs: ?50 ... http:// taggle.nl/7977415/";;;;"815061726953607168";https://twitter.com/eenhuismanauto/status/815061726953607168
;2016-12-31 02:26;0;1;"VolvoAsia News #Volvo #V60 #XC70 紙が更新されました ! http:// paper.li/VolvoAsia/1321 698404?edition_id=891938e0-cf00-11e6-9152-0cc47a0d1609 …";;;#Volvo #V60 #XC70;"815021279132663808";https://twitter.com/VolvoAsia/status/815021279132663808
;2016-12-31 02:19;0;0;"Road Test Review - 2017 Volvo V60 Cross Country Platinum - By Carl Malek » http:// Car-Revs-Daily.com http://www. car-revs-daily.com/2016/12/26/roa d-test-review-2017-volvo-v60-cross-country-platinum-by-carl-malek/#.WGcVv6b4dFE.twitter …";;;#;"815019588333305856";https://twitter.com/Car_Revs_Daily/status/815019588333305856
;2016-12-30 16:29;0;0;"Ned and his son Grady taking delivery of their new Volvo V60 from sales consultant Rex Graham. Thank you for your b… pic.twitter.com/tO9G87s6gb";;;;"814871081844637696";https://twitter.com/OSteenVolvo/status/814871081844637696
;2016-12-30 14:41;0;0;"2017 Volvo V60 - The 2017 Volvo V60 is the automaker's smallest wagon (for now) and carries the banner for the car http:// bit.ly/2cFcvOR";;;;"814843808928112640";https://twitter.com/Auto_News_Today/status/814843808928112640
;2016-12-30 14:40;0;0;"Volvo V60 1.6 T3 150PK MOMENTUM NAVI-LEDER-LMV-ECC-PDC-CRUIS. 71TNL1 162.681 km Prijs: ?15.9... http:// taggle.nl/981948/";;;;"814843691848335361";https://twitter.com/InfoTanis/status/814843691848335361
;2016-12-30 14:05;0;0;"CarConnection : 2017 Volvo V60 http:// dlvr.it/N0P97j pic.twitter.com/VIy3XhA2ks (via Twit… https:// twitter.com/CarConnection/ status/814833961893392384 … ) pic.twitter.com/3re3ZPhzqc";;;;"814834883197566976";https://twitter.com/DWPAutoPro1/status/814834883197566976
;2016-12-30 14:05;0;0;"2017 Volvo V60 https:// automotivereviewsblog.wordpress.com/2016/12/30/201 7-volvo-v60-3 …";;;;"814834686035951616";https://twitter.com/Car_Guy_CO/status/814834686035951616
;2016-12-30 14:02;1;0;"2017 Volvo V60 http:// dlvr.it/N0P97j pic.twitter.com/rRm6YVxui7";;;;"814833961893392384";https://twitter.com/CarConnection/status/814833961893392384
;2016-12-30 07:49;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http:// dlvr.it/N0Hf9g pic.twitter.com/8q5XZQlpFx";;;;"814740201591414784";https://twitter.com/energy_intel/status/814740201591414784
;2016-12-30 05:32;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http:// bit.ly/2ijLcey";;;;"814705626320343040";https://twitter.com/renewanews/status/814705626320343040
;2016-12-30 05:00;0;0;"#Alphatech5 Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video). Read Blog: http:// owler.us/ab1bOq";;;#Alphatech5;"814697656756752385";https://twitter.com/renewable_egry/status/814697656756752385
;2016-12-30 05:00;0;0;"#Alphatech5 Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video). Read Blog: http:// owler.us/ab1bO1";;;#Alphatech5;"814697656731611140";https://twitter.com/multi_utilities/status/814697656731611140
;2016-12-30 03:45;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) | Clea… https:// cleantechnica.com/2016/12/29/ful ly-charged-pulls-back-skin-volvo-v60-d5-phev-wagon-video/ … , see more http:// tweetedtimes.com/v/3264?s=tnp";;;;"814678774394552324";https://twitter.com/TrendsFM/status/814678774394552324
;2016-12-30 03:03;0;0;"New post: Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) https:// goo.gl/z5qR1f";;;;"814668157797494784";https://twitter.com/EthicalGreenSto/status/814668157797494784
;2016-12-30 02:14;0;0;"Top story: Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Vi… https:// cleantechnica.com/2016/12/29/ful ly-charged-pulls-back-skin-volvo-v60-d5-phev-wagon-video/ … , see more http:// tweetedtimes.com/OorjaChakra?s= tnp …";;;;"814655799079354368";https://twitter.com/OorjaChakra/status/814655799079354368
;2016-12-30 02:10;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) | Clea… https:// cleantechnica.com/2016/12/29/ful ly-charged-pulls-back-skin-volvo-v60-d5-phev-wagon-video/ … , see more http:// tweetedtimes.com/v/460?s=tnp";;;;"814654877607591940";https://twitter.com/CleantechWatch/status/814654877607591940
;2016-12-30 01:25;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http:// globalvillage.net/fully-charged- pulls-back-the-skin-on-the-volvo-v60-d5-phev-wagon-video/ …";;;;"814643426092269568";https://twitter.com/eglobalvillage/status/814643426092269568
;2016-12-30 00:16;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) - CleanTechnica http:// dlvr.it/N0BPzc";;;;"814626216724443136";https://twitter.com/VolvoWatch/status/814626216724443136
;2016-12-30 00:09;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http://www. occuworld.org/news/3713566";;;;"814624393984937989";https://twitter.com/OccuWorld/status/814624393984937989
;2016-12-30 00:05;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http:// ow.ly/lMSz5082Ccc";;;;"814623478183772160";https://twitter.com/leadgenesis/status/814623478183772160
;2016-12-29 23:48;0;0;"Fully Charged Pulls Back The Skin On The #Volvo V60 D5 PHEV Wagon (Video). Read more: http:// owler.us/abZ8V7 $ VOLV -B";;;#Volvo;"814619021941190656";https://twitter.com/heavymach_vehi/status/814619021941190656
;2016-12-29 23:43;1;0;""Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video)" http:// ift.tt/2ijbr4G by Kyle Field #cleantech #energy";;;#cleantech #energy;"814617906084507648";https://twitter.com/EnergyTech_News/status/814617906084507648
;2016-12-29 23:43;0;0;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) http:// ift.tt/2ijbr4G";;;;"814617896974512128";https://twitter.com/Chiron_INC/status/814617896974512128
;2016-12-29 23:41;0;2;"Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon (Video) https:// cleantechnica.com/2016/12/29/ful ly-charged-pulls-back-skin-volvo-v60-d5-phev-wagon-video/ …";;;;"814617256764313604";https://twitter.com/zshahan3/status/814617256764313604
